"ATGC","X.1","Salario.Julio.2018","Sueldo.Basico.NCA","Fondo.de.Garantia.NCA","Suplemento.Fijo.Mensual.NCA","Adicional.Categoria.T","Adicional.Categoria.P","CUILS.tipo","CUILS.digito","SEXO"
"IVE-MED-09/G","IVEMED9G","27599,08","24781,44","867,68","1949,96","","",20,1,"M"
"SGM-MED-07/G","SGMMED7G","24554,09","21736,45","867,68","1949,96","","",20,0,"M"
"SGM-MED-05/T","SGMMED5T","24533,26","20326,94","867,68","1949,96","1388,67","",20,4,"M"
"IVE-AVA-08/T","IVEAVA8T","30669,56","26115,91","867,68","1949,96","1736,01","",20,6,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,0,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,3,"M"
"ACI-MED-06/G","ACIMED6G","24301,81","21484,17","867,68","1949,96","","",20,3,"M"
"GGU-INI-11/G","GGUINI11G","27047,73","24230,09","867,68","1949,96","","",20,6,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,6,"M"
"AAS-AVA-07/P","AASAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,2,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,9,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,1,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,1,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,4,"M"
"AAS-AVA-09/P","AASAVA9P","35799,65","29146,33","867,68","1949,96","","3835,68",20,7,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,6,"M"
"GGU-AVA-09/G","GGUAVA9G","31963,97","29146,33","867,68","1949,96","","",20,7,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,7,"M"
"SGM-MED-08/G","SGMMED8G","25536,26","22718,62","867,68","1949,96","","",20,2,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,8,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,3,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,1,"M"
"GGU-AVA-10/P","GGUAVA10P","39379,62","32342,74","867,68","1949,96","","4219,25",20,8,"M"
"GGU-MED-08/G","GGUMED8G","26886,9","24069,26","867,68","1949,96","","",20,3,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,8,"M"
"IVE-MED-06/T","IVEMED6T","25759,92","21484,17","867,68","1949,96","1458,11","",20,1,"M"
"SGM-MED-06/G","SGMMED6G","23838,93","21021,29","867,68","1949,96","","",20,1,"M"
"GGU-MED-08/T","GGUMED8T","28500,11","24069,26","867,68","1949,96","1613,21","",20,6,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,5,"M"
"SGM-INI-04/G","SGMINI4G","21816","18998,36","867,68","1949,96","","",20,1,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,7,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,9,"M"
"SGM-AVA-09/G","SGMAVA9G","28424,44","25606,8","867,68","1949,96","","",20,8,"M"
"AAS-AVA-10/G","AASAVA10G","35160,38","32342,74","867,68","1949,96","","",20,5,"M"
"SGM-AVA-08/G","SGMAVA8G","27070,9","24253,26","867,68","1949,96","","",20,8,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,6,"M"
"AAS-AVA-09/T","AASAVA9T","33881,81","29146,33","867,68","1949,96","1917,84","",20,5,"M"
"AAS-AVA-09/T","AASAVA9T","33881,81","29146,33","867,68","1949,96","1917,84","",20,5,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,0,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,3,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,9,"M"
"EME-MED-09/T","EMEMED9T","29255,03","24781,44","867,68","1949,96","1655,94","",20,2,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,0,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,7,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,0,"M"
"GGU-MED-09/T","GGUMED9T","29925,12","25413,61","867,68","1949,96","1693,87","",20,8,"M"
"GGU-AVA-11/P","GGUAVA11P","43317,58","35858,77","867,68","1949,96","","4641,17",20,3,"M"
"SGM-AVA-09/G","SGMAVA9G","28424,44","25606,8","867,68","1949,96","","",20,6,"M"
"GGU-INI-07/G","GGUINI7G","24031,56","21213,92","867,68","1949,96","","",20,3,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,2,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,0,"M"
"ACI-MED-04/G","ACIMED4G","22906,8","20089,16","867,68","1949,96","","",20,0,"M"
"GGU-AVA-07/G","GGUAVA7G","27921,02","25103,38","867,68","1949,96","","",20,5,"M"
"TIC-AVA-10/G","TICAVA10G","35485,93","32668,29","867,68","1949,96","","",20,0,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,6,"M"
"IVE-INI-05/G","IVEINI5G","22361,39","19543,75","867,68","1949,96","","",20,2,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,6,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,2,"M"
"SGM-AVA-10/G","SGMAVA10G","30129,91","27312,27","867,68","1949,96","","",20,9,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,4,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,2,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,3,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,5,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,0,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,3,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,9,"M"
"GGU-AVA-10/P","GGUAVA10P","39379,62","32342,74","867,68","1949,96","","4219,25",20,9,"M"
"IVE-INI-05/G","IVEINI5G","22361,39","19543,75","867,68","1949,96","","",20,4,"M"
"SGM-INI-08/G","SGMINI8G","24198,25","21380,61","867,68","1949,96","","",20,9,"M"
"GGU-MED-07/G","GGUMED7G","25852,79","23035,15","867,68","1949,96","","",20,3,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,2,"M"
"GGU-AVA-07/G","GGUAVA7G","27921,02","25103,38","867,68","1949,96","","",20,7,"M"
"GGU-INI-06/G","GGUINI6G","23445,42","20627,78","867,68","1949,96","","",20,4,"M"
"GGU-AVA-09/P","GGUAVA9P","35799,65","29146,33","867,68","1949,96","","3835,68",20,6,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,0,"M"
"SGM-AVA-09/T","SGMAVA9T","30129,9","25606,8","867,68","1949,96","1705,47","",20,5,"M"
"GGU-INI-05/P","GGUINI5P","25618,41","20055,94","867,68","1949,96","","2744,83",20,7,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,5,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,4,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,1,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,5,"M"
"AAS-MED-07/P","AASMED7P","28955,13","23035,15","867,68","1949,96","","3102,34",20,7,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,5,"M"
"ACI-MED-06/G","ACIMED6G","24301,81","21484,17","867,68","1949,96","","",20,6,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,4,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,0,"M"
"GGU-AVA-09/G","GGUAVA9G","31963,97","29146,33","867,68","1949,96","","",20,5,"M"
"AAS-INI-06/G","AASINI6G","23445,42","20627,78","867,68","1949,96","","",20,8,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,9,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,0,"M"
"GGU-INI-05/P","GGUINI5P","25618,41","20055,94","867,68","1949,96","","2744,83",20,2,"M"
"GGU-MED-07/G","GGUMED7G","25852,79","23035,15","867,68","1949,96","","",20,1,"M"
"GGU-MED-08/G","GGUMED8G","26886,9","24069,26","867,68","1949,96","","",20,5,"M"
"SGM-MED-08/G","SGMMED8G","25536,26","22718,62","867,68","1949,96","","",20,7,"M"
"EME-MED-09/G","EMEMED9G","27599,08","24781,44","867,68","1949,96","","",20,0,"M"
"SGM-INI-04/G","SGMINI4G","21816","18998,36","867,68","1949,96","","",20,2,"M"
"SGM-AVA-09/G","SGMAVA9G","28424,44","25606,8","867,68","1949,96","","",20,0,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,0,"M"
"AAS-MED-05/G","AASMED5G","24134,42","21316,78","867,68","1949,96","","",20,1,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,0,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,4,"M"
"EME-MED-08/G","EMEMED8G","26284,84","23467,2","867,68","1949,96","","",20,5,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,8,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,1,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,3,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,7,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,7,"M"
"SGM-AVA-07/G","SGMAVA7G","25781,8","22964,16","867,68","1949,96","","",20,8,"M"
"AAS-AVA-07/P","AASAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,9,"M"
"IVE-INI-05/G","IVEINI5G","22361,39","19543,75","867,68","1949,96","","",20,0,"M"
"GGU-AVA-11/P","GGUAVA11P","43317,58","35858,77","867,68","1949,96","","4641,17",20,4,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,1,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,4,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,1,"M"
"GGU-MED-06/G","GGUMED6G","24858,45","22040,81","867,68","1949,96","","",20,1,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,9,"M"
"GGU-AVA-10/T","GGUAVA10T","37270","32342,74","867,68","1949,96","2109,62","",20,9,"M"
"SGM-AVA-07/G","SGMAVA7G","25781,8","22964,16","867,68","1949,96","","",20,5,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,6,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,9,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,7,"M"
"SGM-AVA-09/G","SGMAVA9G","28424,44","25606,8","867,68","1949,96","","",20,1,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,2,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,1,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,5,"M"
"IVE-MED-10/G","IVEMED10G","28979,05","26161,41","867,68","1949,96","","",20,5,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,4,"M"
"GGU-INI-07/G","GGUINI7G","24031,56","21213,92","867,68","1949,96","","",20,7,"M"
"GGU-AVA-09/P","GGUAVA9P","35799,65","29146,33","867,68","1949,96","","3835,68",20,8,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,8,"M"
"GGU-AVA-10/G","GGUAVA10G","35160,38","32342,74","867,68","1949,96","","",20,4,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,3,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,3,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,5,"M"
"ACI-MED-04/G","ACIMED4G","22906,8","20089,16","867,68","1949,96","","",20,0,"M"
"ACI-MED-05/G","ACIMED5G","23594","20776,36","867,68","1949,96","","",20,2,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,4,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,8,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,2,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,0,"M"
"GGU-AVA-09/T","GGUAVA9T","33881,81","29146,33","867,68","1949,96","1917,84","",20,2,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,3,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,3,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,5,"M"
"GGU-MED-11/G","GGUMED11G","31124,95","28307,31","867,68","1949,96","","",20,4,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,2,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,4,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,7,"M"
"AAS-MED-05/G","AASMED5G","24134,42","21316,78","867,68","1949,96","","",20,3,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,3,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,1,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,3,"M"
"GGU-AVA-11/P","GGUAVA11P","43317,58","35858,77","867,68","1949,96","","4641,17",20,3,"M"
"GGU-MED-07/G","GGUMED7G","25852,79","23035,15","867,68","1949,96","","",20,2,"M"
"AAS-MED-08/G","AASMED8G","26886,9","24069,26","867,68","1949,96","","",20,5,"M"
"GGU-INI-09/G","GGUINI9G","25495,09","22677,45","867,68","1949,96","","",20,6,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,0,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,1,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,8,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,1,"M"
"IVE-MED-06/G","IVEMED6G","24301,81","21484,17","867,68","1949,96","","",20,9,"M"
"SGM-MED-08/G","SGMMED8G","25536,26","22718,62","867,68","1949,96","","",20,8,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,8,"M"
"SGM-INI-08/G","SGMINI8G","24198,25","21380,61","867,68","1949,96","","",20,2,"M"
"AAS-AVA-07/P","AASAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,0,"M"
"IVE-MED-04/P","IVEMED4P","25655,62","20089,16","867,68","1949,96","","2748,82",20,6,"M"
"SGM-MED-09/T","SGMMED9T","28151,17","23740,07","867,68","1949,96","1593,46","",20,3,"M"
"IVE-AVA-08/P","IVEAVA8P","32405,58","26115,91","867,68","1949,96","","3472,03",20,7,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,2,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,1,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,1,"M"
"SGM-AVA-11/G","SGMAVA11G","31937,69","29120,05","867,68","1949,96","","",20,5,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,4,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,6,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,1,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,6,"M"
"SGM-AVA-09/T","SGMAVA9T","30129,9","25606,8","867,68","1949,96","1705,47","",20,6,"M"
"GGU-MED-09/G","GGUMED9G","28231,25","25413,61","867,68","1949,96","","",20,1,"M"
"AAS-MED-05/P","AASMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,6,"M"
"IVE-MED-06/P","IVEMED6P","27218,03","21484,17","867,68","1949,96","","2916,22",20,0,"M"
"AAS-AVA-11/P","AASAVA11P","43317,58","35858,77","867,68","1949,96","","4641,17",20,5,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,0,"M"
"GGU-AVA-09/P","GGUAVA9P","35799,65","29146,33","867,68","1949,96","","3835,68",20,2,"M"
"GGU-MED-05/T","GGUMED5T","25582,49","21316,78","867,68","1949,96","1448,07","",20,6,"M"
"GGU-MED-05/P","GGUMED5P","27030,55","21316,78","867,68","1949,96","","2896,13",20,0,"M"
"GGU-MED-07/G","GGUMED7G","25852,79","23035,15","867,68","1949,96","","",20,9,"M"
"AAS-MED-06/T","AASMED6T","26349,96","22040,81","867,68","1949,96","1491,51","",20,4,"M"
"GGU-INI-09/G","GGUINI9G","25495,09","22677,45","867,68","1949,96","","",20,9,"M"
"SGM-AVA-07/G","SGMAVA7G","25781,8","22964,16","867,68","1949,96","","",20,9,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,0,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,3,"M"
"SGM-AVA-07/G","SGMAVA7G","25781,8","22964,16","867,68","1949,96","","",20,2,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,3,"M"
"GGU-INI-07/P","GGUINI7P","26915,35","21213,92","867,68","1949,96","","2883,79",20,5,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,7,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,0,"M"
"ACI-MED-07/G","ACIMED7G","25273,9","22456,26","867,68","1949,96","","",20,7,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,4,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,9,"M"
"GGU-MED-06/G","GGUMED6G","24858,45","22040,81","867,68","1949,96","","",20,5,"M"
"GGU-AVA-09/G","GGUAVA9G","31963,97","29146,33","867,68","1949,96","","",20,0,"M"
"IVE-INI-05/G","IVEINI5G","22361,39","19543,75","867,68","1949,96","","",20,6,"M"
"EME-MED-09/G","EMEMED9G","27599,08","24781,44","867,68","1949,96","","",20,6,"M"
"ACI-MED-08/G","ACIMED8G","26284,84","23467,2","867,68","1949,96","","",20,5,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,5,"M"
"GGU-MED-05/G","GGUMED5G","24134,42","21316,78","867,68","1949,96","","",20,7,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,4,"M"
"EME-MED-05/G","EMEMED5G","23594","20776,36","867,68","1949,96","","",20,1,"M"
"SGM-AVA-07/G","SGMAVA7G","25781,8","22964,16","867,68","1949,96","","",20,8,"M"
"SGM-INI-08/G","SGMINI8G","24198,25","21380,61","867,68","1949,96","","",20,6,"M"
"IVE-INI-05/P","IVEINI5P","25044,76","19543,75","867,68","1949,96","","2683,37",20,0,"M"
"GGU-INI-09/G","GGUINI9G","25495,09","22677,45","867,68","1949,96","","",20,8,"M"
"GGU-INI-04/G","GGUINI4G","22315,7","19498,06","867,68","1949,96","","",20,7,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,9,"M"
"EME-AVA-07/P","EMEAVA7P","30288,23","24225,42","867,68","1949,96","","3245,17",20,9,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,6,"M"
"SGM-INI-07/G","SGMINI7G","23493,44","20675,8","867,68","1949,96","","",20,3,"M"
"SGM-INI-06/G","SGMINI6G","22920,43","20102,79","867,68","1949,96","","",20,1,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,0,"M"
"AAS-MED-05/T","AASMED5T","25582,49","21316,78","867,68","1949,96","1448,07","",20,1,"M"
"GGU-AVA-09/P","GGUAVA9P","35799,65","29146,33","867,68","1949,96","","3835,68",20,5,"M"
"SGM-MED-09/G","SGMMED9G","26557,71","23740,07","867,68","1949,96","","",20,8,"M"
"SGM-AVA-09/G","SGMAVA9G","28424,44","25606,8","867,68","1949,96","","",20,7,"M"
"GGU-AVA-11/G","GGUAVA11G","38676,41","35858,77","867,68","1949,96","","",20,8,"M"
"AAS-MED-07/G","AASMED7G","25852,79","23035,15","867,68","1949,96","","",20,9,"M"
"GGU-INI-05/G","GGUINI5G","22873,58","20055,94","867,68","1949,96","","",20,3,"M"
"SGM-MED-05/G","SGMMED5G","23144,58","20326,94","867,68","1949,96","","",20,7,"M"
"IVE-INI-05/G","IVEINI5G","22361,39","19543,75","867,68","1949,96","","",20,2,"M"
"EME-INI-05/G","EMEINI5G","22361,39","19543,75","867,68","1949,96","","",20,7,"M"
"ACI-MED-04/G","ACIMED4G","22906,8","20089,16","867,68","1949,96","","",20,3,"M"
"GGU-AVA-10/P","GGUAVA10P","39379,62","32342,74","867,68","1949,96","","4219,25",20,8,"M"
"GGU-AVA-10/P","GGUAVA10P","39379,62","32342,74","867,68","1949,96","","4219,25",20,1,"M"
"GGU-INI-06/G","GGUINI6G","23445,42","20627,78","867,68","1949,96","","",20,8,"M"
"IVE-MED-04/G","IVEMED4G","22906,8","20089,16","867,68","1949,96","","",20,9,"M"
"SGM-INI-05/G","SGMINI5G","22361,39","19543,75","867,68","1949,96","","",20,5,"M"
"GGU-AVA-11/P","GGUAVA11P","43317,58","35858,77","867,68","1949,96","","4641,17",20,6,"M"
"SGM-MED-08/G","SGMMED8G","25536,26","22718,62","867,68","1949,96","","",20,9,"M"
"GGU-AVA-07/P","GGUAVA7P","31271,54","25103,38","867,68","1949,96","","3350,52",20,7,"M"
